iata_code,airport_name,city,lat_dec,long_dec
ABI,Abilene Regional,ABILENE,32.411,-99.682
ACK,Nantucket Memorial,NANTUCKET,41.253,-70.06
ACT,Waco Regional,WACO,31.611,-97.23
ACY,Atlantic City International,ATLANTIC CITY,39.458,-74.577
ADM,Ardmore Municipal,ARDMORE,34.303000000000004,-97.01899999999999
ADW,Andrews Air Force Base,CAMP SPRINGS,38.811,-76.867
AEX,Alexandria International,ALEXANDRIA,31.326999999999998,-92.54799999999999
AGS,Augusta Regional At Bush Field,BUSH FIELD,33.37,-81.964
AKR,Akron Fulton International,AKRON,41.038000000000004,-81.467
ALB,Albany International,ALBANY,42.748000000000005,-73.803
ALI,Alice International,ALICE,27.741,-98.027
AMA,Amarillo International,AMARILLO,35.219,-101.706
ANB,Anniston Metropolitan,ANNISTON,33.588,-85.85799999999999
AND,Anderson Regional,ANDERSEN,34.495,-82.709
AOO,Altoona Blair Co,ALTOONA,40.296,-78.32
APG,Phillips Aaf,ABERDEEN,39.466,-76.169
ARA,Acadiana Regional,LOUISIANA,30.038,-91.884
ART,Watertown International,WATERTOWN,43.992,-76.02199999999999
ATL,The William B Hartsfield Atlanta International,ATLANTA,33.64,-84.427
AUG,Augusta State,AUGUSTA,44.321000000000005,-69.797
AUS,Austin Bergstrom International,AUSTIN,30.194000000000003,-97.67
BAB,Beale Air Force Base,MARYSVILLE,39.135999999999996,-121.436
BAD,Barksdale Air Force Base,SHREVEPORT,32.501999999999995,-93.663
BCT,Boca Raton,BOCA RATON,26.378,-80.107
BDE,Baudette International,BAUDETTE,48.728,-94.61200000000001
BDL,Bradley International,WINDSOR LOCKS,41.93899999999999,-72.683
BDR,Igor I Sikorsky Memorial,STRATFORD,41.163000000000004,-73.126
BED,Laurence G Hanscom Field,BEDFORD,42.47,-71.289
BFI,Boeing Field King Co International,SEATTLE,47.53,-122.302
BFL,Meadows Field,BAKERSFIELD,35.433,-119.057
BFM,Mobile Downtown,MOBILE,30.625999999999998,-88.068
BGR,Bangor International,BANGOR,44.806999999999995,-68.828
BHM,Birmingham International,BIRMINGHAM,33.563,-86.75299999999999
BIF,Biggs Aaf,EL PASO,31.849,-106.38
BIX,Keesler Air Force Base,BILOXI,30.410999999999998,-88.92399999999999
BKF,Buckley Air Force Base,BUCKLEY,39.702,-104.751
BLI,Bellingham International,BELLINGHAM,48.792,-122.537
