iata_code,airport_name,latitude_deg,longitude_deg,elevation_ft,municipality
OCA,Ocean Reef Club Airport,25.325399398804002,-80.274803161621,8.0,Key Largo
PQS,Pilot Station Airport,61.934601,-162.899994,305.0,Pilot Station
CSE,Crested Butte Airpark,38.851918,-106.92834099999999,8980.0,Crested Butte
JCY,LBJ Ranch Airport,30.251800537100006,-98.6224975586,1515.0,Johnson City
PMX,Metropolitan Airport,42.223300933800004,-72.31140136719998,418.0,Palmer
NUP,Nunapitchuk Airport,60.905591,-162.44045400000002,12.0,Nunapitchuk
ICY,Icy Bay Airport,59.96900177,-141.662002563,50.0,Icy Bay
KKK,Kalakaket Creek AS Airport,64.4166256967,-156.820392609,1598.0,Kalakaket Creek
MHS,Dunsmuir Muni-Mott Airport,41.263199,-122.272003,3258.0,Dunsmuir
NIR,Chase Field Industrial Airport,28.362444,-97.661917,190.0,Beeville
GCT,Grand Canyon Bar Ten Airstrip,36.259701,-113.231003,4100.0,Whitmore
LVD,Lime Village Airport,61.3591003418,-155.440002441,552.0,Lime Village
HGZ,Hog River Airport,66.21610260000001,-155.6690063,534.0,Hogatza
OTN,Ed-Air Airport,38.851398468,-87.49970245360001,426.0,Oaktown
TLF,Telida Airport,63.393901824951,-153.26899719238,650.0,Telida
BZT,Eagle Air Park,28.982200622559,-95.579696655273,15.0,Brazoria
BYW,Blakely Island Airport,48.578998565700005,-122.82599639899999,66.0,Blakely Island
DRF,Drift River Airport,60.5889015198,-152.162002563,30.0,Kenai
BDF,Rinkenberger Restricted Landing Area,41.2308998108,-89.61569976810001,808.0,Bradford
VRS,Roy Otten Memorial Airfield,38.427799224854,-92.875198364258,1030.0,Versailles
ATT,Atmautluak Airport,60.866699,-162.272995,17.0,Atmautluak
LIV,Livengood Camp Airport,65.467,-148.6534,425.0,Livengood
PDB,Pedro Bay Airport,59.789600372299994,-154.12399292,45.0,Pedro Bay
KOZ,Ouzinkie Airport,57.925362,-152.496715,55.0,Ouzinkie
TNK,Tununak Airport,60.575500488281,-165.27200317383,14.0,Tununak
MNT,Minto Al Wright Airport,65.1437,-149.369995,460.0,Minto
WKK,Aleknagik / New Airport,59.2826004028,-158.617996216,66.0,Aleknagik
