iata_code,airport_name,latitude_deg,longitude_deg,elevation_ft,city
ABE,Lehigh Valley International Airport,40.652,-75.441,393.0,Allentown
ABI,Abilene Regional Airport,32.411,-99.682,1791.0,Abilene
ABQ,Albuquerque International Sunport,35.04,-106.609,5355.0,Albuquerque
ABR,Aberdeen Regional Airport,45.449,-98.422,1302.0,Aberdeen
ABY,Southwest Georgia Regional Airport,31.535,-84.195,197.0,Albany
ACK,Nantucket Memorial Airport,41.253,-70.06,47.0,Nantucket
ACT,Waco Regional Airport,31.611,-97.23,516.0,Waco
ACV,California Redwood Coast-Humboldt County Airport,40.978,-124.109,221.0,Arcata/Eureka
ACY,Atlantic City International Airport,39.458,-74.577,75.0,Atlantic City
ADK,Adak Airport,51.878,-176.646,18.0,Adak Island
ADQ,Kodiak Airport,57.75,-152.494,78.0,Kodiak
AEX,Alexandria International Airport,31.327,-92.55,89.0,Alexandria
AGS,Augusta Regional At Bush Field,33.37,-81.965,144.0,Augusta
AKN,King Salmon Airport,58.677,-156.649,73.0,King Salmon
ALB,Albany International Airport,42.748,-73.802,285.0,Albany
ALO,Waterloo Regional Airport,42.557,-92.4,873.0,Waterloo
ALW,Walla Walla Regional Airport,46.095,-118.288,1194.0,Walla Walla
AMA,Rick Husband Amarillo International Airport,35.219,-101.706,3607.0,Amarillo
ANC,Ted Stevens Anchorage International Airport,61.174,-149.996,152.0,Anchorage
APF,Naples Municipal Airport,26.153,-81.775,8.0,Naples
APN,Alpena County Regional Airport,45.078,-83.56,690.0,Alpena
ART,Watertown International Airport,43.992,-76.022,325.0,Watertown
ASE,Aspen-Pitkin Co/Sardy Field,39.223,-106.869,7820.0,Aspen
ATL,Hartsfield Jackson Atlanta International Airport,33.637,-84.428,1026.0,Atlanta
ATW,Appleton International Airport,44.258,-88.519,918.0,Appleton
ATY,Watertown Regional Airport,44.914,-97.155,1749.0,Watertown
AUS,Austin Bergstrom International Airport,30.194,-97.67,542.0,Austin
AVL,Asheville Regional Airport,35.436,-82.542,2165.0,Asheville
AVP,Wilkes Barre Scranton International Airport,41.339,-75.723,962.0,Wilkes-Barre/Scranton
AZA,Phoenix-Mesa-Gateway Airport,33.308,-111.655,1382.0,Phoenix
AZO,Kalamazoo Battle Creek International Airport,42.235,-85.552,874.0,Kalamazoo
BDL,Bradley International Airport,41.939,-72.683,173.0,Hartford
BET,Bethel Airport,60.78,-161.838,126.0,Bethel
BFF,Western Neb. Rgnl/William B. Heilig Airport,41.874,-103.596,3967.0,Scottsbluff
BFL,Meadows Field,35.434,-119.057,510.0,Bakersfield
BFM,Mobile Downtown Airport,30.627,-88.068,26.0,Mobile
BGM,Greater Binghamton/Edwin A Link field,42.209,-75.98,1636.0,Binghamton
BGR,Bangor International Airport,44.807,-68.828,192.0,Bangor
BHM,Birmingham-Shuttlesworth International Airport,33.563,-86.754,650.0,Birmingham
BIL,Billings Logan International Airport,45.808,-108.543,3652.0,Billings
BIS,Bismarck Municipal Airport,46.773,-100.746,1661.0,Bismarck
BJI,Bemidji Regional Airport,47.509,-94.934,1391.0,Bemidji
BKG,Branson Airport,36.532,-93.201,1302.0,Branson
BLI,Bellingham International Airport,48.793,-122.538,170.0,Bellingham
BLV,Scott AFB/Midamerica Airport,38.545,-89.835,459.0,Belleville
BMI,Central Illinois Regional Airport at Bloomington-Normal,40.477,-88.916,871.0,Bloomington/Normal
BNA,Nashville International Airport,36.125,-86.678,599.0,Nashville
BOI,Boise Air Terminal/Gowen Field,43.564,-116.223,2871.0,Boise
BOS,General Edward Lawrence Logan International Airport,42.364,-71.005,20.0,Boston
BPT,Southeast Texas Regional Airport,29.951,-94.021,15.0,Beaumont/Port Arthur
BQK,Brunswick Golden Isles Airport,31.259,-81.466,26.0,Brunswick
BRD,Brainerd Lakes Regional Airport,46.398,-94.138,1232.0,Brainerd
BRO,Brownsville South Padre Island International Airport,25.907,-97.426,22.0,Brownsville
BRW,Wiley Post Will Rogers Memorial Airport,71.285,-156.766,44.0,Utqiaġvik
BTM,Bert Mooney Airport,45.955,-112.497,5550.0,Butte
BTR,Baton Rouge Metropolitan Airport,30.533,-91.15,70.0,Baton Rouge
BTV,Burlington International Airport,44.472,-73.153,335.0,Burlington
BUF,Buffalo Niagara International Airport,42.94,-78.732,728.0,Buffalo
BUR,Bob Hope Airport,34.201,-118.359,778.0,Burbank
BWI,Baltimore/Washington International Thurgood Marshall Airport,39.175,-76.668,146.0,Baltimore
BZN,Gallatin Field,45.778,-111.153,4473.0,Bozeman
CAE,Columbia Metropolitan Airport,33.939,-81.119,236.0,Columbia
CAK,Akron Canton Regional Airport,40.916,-81.442,1228.0,Akron
CBM,Columbus Air Force Base,33.644,-88.444,219.0,Columbus
CDC,Cedar City Regional Airport,37.701,-113.099,5622.0,Cedar City
CDV,Merle K (Mudhole) Smith Airport,60.492,-145.478,54.0,Cordova
CEC,Jack Mc Namara Field Airport,41.78,-124.237,61.0,Crescent City
CGI,Cape Girardeau Regional Airport,37.225,-89.571,342.0,Cape Girardeau
CHA,Lovell Field,35.035,-85.204,683.0,Chattanooga
CHO,Charlottesville Albemarle Airport,38.139,-78.453,639.0,Charlottesville
CHS,Charleston Air Force Base-International Airport,32.899,-80.04,46.0,Charleston
CIC,Chico Municipal Airport,39.795,-121.858,240.0,Chico
CID,The Eastern Iowa Airport,41.885,-91.711,869.0,Cedar Rapids
CIU,Chippewa County International Airport,46.251,-84.472,800.0,Sault Ste Marie
CKB,North Central West Virginia Airport,39.297,-80.228,1217.0,Clarksburg
